custody_status,marital_status,rec_supervision_level,rec_supervision_level_text,score_text,type_of_assessment,raw_score,decile_score,person_id
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,48
Jail Inmate,Single,1,Low,High,Risk of Failure to Appear,29,8,49
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,20,3,50
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,51
Pretrial Defendant,Single,4,High,Low,Risk of Failure to Appear,16,1,51
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,51
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,52
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,15,1,53
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,25,6,54
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,55
Pretrial Defendant,Single,4,High,Low,Risk of Failure to Appear,20,4,56
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,57
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,11,1,58
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,18,3,59
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,60
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,16,2,61
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,62
Jail Inmate,Married,4,High,High,Risk of Failure to Appear,37,10,63
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,19,3,64
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,20,3,64
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,65
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,18,3,66
Jail Inmate,Significant Other,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,23,5,67
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,68
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,17,2,69
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,13,1,70
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,12,1,71
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,72
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,21,4,73
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,74
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,21,4,75
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,32,9,76
Pretrial Defendant,Widowed,1,Low,Low,Risk of Failure to Appear,13,1,77
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,18,3,78
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,25,6,79
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,80
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,81
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,82
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,15,1,83
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,84
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,85
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,11,1,86
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,14,1,87
Pretrial Defendant,Single,2,Medium,High,Risk of Failure to Appear,28,8,88
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,89
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,20,3,90
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,91
Jail Inmate,Married,2,Medium,Low,Risk of Failure to Appear,21,4,92
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,93
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,94
Pretrial Defendant,Single,4,High,Low,Risk of Failure to Appear,20,3,95
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,23,5,96
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,24,6,96
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,97
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,18,3,98
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,98
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,99
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,13,1,100
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,101
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,101
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,14,1,102
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,103
Jail Inmate,Married,1,Low,Medium,Risk of Failure to Appear,22,5,104
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,105
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,14,1,106
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,16,2,107
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,107
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,18,3,108
Pretrial Defendant,Married,1,Low,Medium,Risk of Failure to Appear,23,5,109
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,110
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,111
Pretrial Defendant,Single,1,Low,Medium,Risk of Failure to Appear,24,6,112
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,113
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,18,3,114
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,115
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,116
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,116
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,15,1,117
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,17,2,118
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,21,4,119
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,120
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,12,1,121
Jail Inmate,Single,4,High,Medium,Risk of Failure to Appear,26,7,122
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,29,8,122
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,30,8,122
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,123
Jail Inmate,Married,1,Low,High,Risk of Failure to Appear,29,8,124
Pretrial Defendant,Divorced,2,Medium,High,Risk of Failure to Appear,29,8,125
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,16,2,126
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,127
Jail Inmate,Single,4,High,Medium,Risk of Failure to Appear,24,6,128
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,129
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,11,1,130
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,131
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,3,132
Jail Inmate,Single,2,Medium,High,Risk of Failure to Appear,32,9,133
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,16,2,134
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,15,1,135
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,136
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,23,5,137
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,138
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,15,1,139
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,140
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,141
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,17,2,142
Pretrial Defendant,Single,2,Medium,High,Risk of Failure to Appear,30,8,143
Pretrial Defendant,Single,1,Low,Medium,Risk of Failure to Appear,27,7,144
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,16,2,145
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,146
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,147
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,12,1,148
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,149
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,12,1,150
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,13,1,151
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,152
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,24,6,153
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,16,2,154
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,155
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,23,5,156
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,157
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,23,5,158
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,21,4,159
Pretrial Defendant,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,29,8,160
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,22,5,161
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,18,3,162
Pretrial Defendant,Single,1,Low,Medium,Risk of Failure to Appear,23,5,163
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,164
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,165
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,166
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,166
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,15,1,167
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,168
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,16,2,169
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,170
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,171
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,172
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,14,1,173
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,14,1,174
Pretrial Defendant,Significant Other,1,Low,Low,Risk of Failure to Appear,13,1,175
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,16,2,175
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,24,6,176
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,177
Jail Inmate,Divorced,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,27,7,178
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,16,2,179
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,25,6,180
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,16,2,181
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,182
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,4,183
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,22,5,184
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,185
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,186
Pretrial Defendant,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,32,9,187
Pretrial Defendant,Single,4,High,Low,Risk of Failure to Appear,21,4,188
Pretrial Defendant,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,189
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,23,5,190
Jail Inmate,Single,1,Low,High,Risk of Failure to Appear,31,9,191
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,12,1,192
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,13,1,193
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,21,4,194
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,22,5,195
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,196
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,17,2,197
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,198
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,11,1,199
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,15,1,200
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,11,1,201
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,202
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,203
Pretrial Defendant,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,22,5,204
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,15,1,205
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,206
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,207
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,17,2,208
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,209
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,25,6,210
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,15,1,211
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,17,2,212
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,12,1,213
Pretrial Defendant,Single,4,High,High,Risk of Failure to Appear,31,9,214
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,14,1,215
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,216
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,216
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,21,4,217
Pretrial Defendant,Single,1,Low,High,Risk of Failure to Appear,27,8,218
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,219
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,220
Pretrial Defendant,Significant Other,1,Low,Low,Risk of Failure to Appear,17,2,221
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,16,2,222
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,4,223
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,21,4,224
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,23,5,225
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,4,226
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,227
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,29,9,228
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,30,9,228
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,17,2,229
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,16,2,230
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,11,1,231
Pretrial Defendant,Single,2,Medium,Medium,Risk of Failure to Appear,22,5,232
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,19,3,233
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,15,1,234
Jail Inmate,Married,2,Medium,High,Risk of Failure to Appear,31,9,235
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,236
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,237
Pretrial Defendant,Single,4,High,High,Risk of Failure to Appear,31,9,238
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,239
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,18,3,240
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,241
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,242
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,243
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,21,4,244
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,4,245
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,246
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,247
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,248
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,249
Jail Inmate,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,41,10,250
Pretrial Defendant,Married,2,Medium,Low,Risk of Failure to Appear,20,4,251
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,252
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,253
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,254
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,255
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,20,4,256
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,12,1,257
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,23,6,258
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,259
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,24,6,260
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,19,3,261
Pretrial Defendant,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,33,9,262
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,26,7,263
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,4,264
Jail Inmate,Divorced,2,Medium,Low,Risk of Failure to Appear,15,1,265
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,266
Pretrial Defendant,Single,1,Low,High,Risk of Failure to Appear,31,9,267
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,268
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,19,3,269
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,1,270
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,271
Pretrial Defendant,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,29,8,272
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,22,5,273
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,12,1,274
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,275
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,276
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,277
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,19,3,277
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,278
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,20,3,279
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,21,4,280
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,15,1,281
Jail Inmate,Divorced,1,Low,Medium,Risk of Failure to Appear,23,5,282
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,21,4,282
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,16,2,283
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,13,1,284
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,285
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,286
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,30,8,287
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,30,8,287
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,22,5,288
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,19,3,289
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,290
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,25,6,291
Jail Inmate,Married,3,Medium with Override Consideration,High,Risk of Failure to Appear,30,9,292
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,18,3,293
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,294
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,34,10,295
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,17,2,296
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,297
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,298
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,299
Pretrial Defendant,Single,1,Low,Medium,Risk of Failure to Appear,24,6,300
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,20,3,301
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,31,9,302
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,16,2,303
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,19,3,304
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,21,4,305
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,15,1,306
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,27,7,307
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,20,3,308
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,14,1,309
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,310
Pretrial Defendant,Widowed,1,Low,Medium,Risk of Failure to Appear,25,6,311
Jail Inmate,Separated,2,Medium,Low,Risk of Failure to Appear,20,3,312
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,17,2,313
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,13,1,314
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,13,1,315
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,20,3,316
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,17,2,317
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,4,318
Jail Inmate,Single,4,High,Medium,Risk of Failure to Appear,27,7,318
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,15,1,319
Jail Inmate,Separated,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,320
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,321
Pretrial Defendant,Single,2,Medium,High,Risk of Failure to Appear,30,8,322
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,323
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,324
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,11,1,325
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,326
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,327
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,11,1,328
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,14,1,329
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,330
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,13,1,330
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,331
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,332
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,21,4,333
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,20,3,334
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,335
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,20,3,336
