person_id,sex,race,c_charge_degree,c_charge_desc,is_recid,num_r_cases,r_charge_degree,r_charge_desc,is_violent_recid,num_vr_cases,vr_case_number,vr_charge_degree,vr_charge_desc
24,Male,Caucasian,(F3),Possession Of Heroin,1,2,(F3),Possession of Cocaine,0,,,,
25,Male,African-American,(F3),arrest case no charge,1,1,(F2),Poss Cocaine/Intent To Del/Sel,0,,,,
26,Male,African-American,(F3),Battery on Law Enforc Officer,1,1,(M2),Prowling/Loitering,0,,,,
27,Male,Caucasian,(M1),Possession Of Methamphetamine,1,1,(M2),Operating W/O Valid License,0,,,,
28,Female,Caucasian,(F3),Introduce Contraband Into Jail,0,,,,0,,,,
29,Male,African-American,(F3),Poss Pyrrolidinovalerophenone,1,2,(M2),Petit Theft,0,,,,
30,Male,Hispanic,(F3),Lewd/Lasc Battery Pers 12+/<16,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
31,Male,Caucasian,(F1),Trafficking In Methamphetamine,0,,,,0,,,,
32,Male,Caucasian,(M2),Susp Drivers Lic 1st Offense,0,,,,0,,,,
33,Male,Other,(M1),Battery,0,,,,0,,,,
35,Male,African-American,(M2),arrest case no charge,0,,,,0,,,,
37,Male,African-American,(F3),Carrying Concealed Firearm,1,2,(M2),Driving License Suspended,1,,15002479CF10A,(F3),Felony Battery
38,Female,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
39,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,1,2,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
40,Male,African-American,(F3),Tampering With Physical Evidence,1,3,(F3),False Imprisonment,1,,15010523CF10A,(M1),Battery
41,Male,Caucasian,(F3),Felony Battery w/Prior Convict,1,1,(F3),Grand Theft (Motor Vehicle),0,,,,
42,Male,African-American,(F3),Att Tamper w/Physical Evidence,1,5,(M1),Resist/Obstruct W/O Violence,0,,,,
43,Male,African-American,(M1),Battery,0,,,,0,,,,
44,Male,Hispanic,(F3),Possession of Cocaine,0,,,,0,,,,
45,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
47,Male,African-American,(F3),Felony Petit Theft,0,,,,0,,,,
48,Male,African-American,(F3),Burglary Structure Assault/Batt,0,,,,0,,,,
49,Male,Caucasian,(F3),Fel Drive License Perm Revoke,0,,,,0,,,,
50,Male,Other,(F3),Agg Fleeing and Eluding,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
51,Male,Caucasian,(M2),Operating W/O Valid License,0,,,,0,,,,
52,Female,Caucasian,(M1),Battery,1,1,(F3),Grand Theft in the 3rd Degree,0,,,,
53,Male,Caucasian,(M1),Battery,1,5,(F3),Possession of Cannabis,0,,,,
54,Male,African-American,(F2),Poss Wep Conv Felon,1,1,(M1),Unlaw Use False Name/Identity,0,,,,
55,Male,Caucasian,(M1),Possess Cannabis/20 Grams Or Less,0,,,,0,,,,
56,Female,African-American,(F2),arrest case no charge,0,,,,0,,,,
57,Male,African-American,(M1),Unlaw Use False Name/Identity,0,,,,0,,,,
59,Male,Caucasian,(M1),Viol Injunct Domestic Violence,1,1,(M1),Viol Pretrial Release Dom Viol,0,,,,
60,Male,African-American,(F2),Burglary Unoccupied Dwelling,0,,,,0,,,,
61,Female,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
62,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
63,Male,African-American,(M1),Burglary Dwelling Occupied,0,,,,0,,,,
64,Male,African-American,(F3),Defrauding Innkeeper $300/More,1,1,(M1),Viol Injunct Domestic Violence,0,,,,
65,Male,Other,(M1),Battery,0,,,,0,,,,
66,Male,Caucasian,(M1),Battery,1,1,(F2),Agg Battery Grt/Bod/Harm,1,,14004719CF10A,(F2),Agg Battery Grt/Bod/Harm
67,Male,African-American,(F3),Uttering a Forged Instrument,1,1,(MO3),DOC/Fighting/Threatening Words,1,,14008544MO10A,(MO3),DOC/Fighting/Threatening Words
68,Male,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,0,,,,0,,,,
69,Male,African-American,(M2),Driving License Suspended,1,1,(M2),DWLS Canceled Disqul 1st Off,0,,,,
70,Male,African-American,(F3),Tampering With Physical Evidence,0,,,,0,,,,
71,Male,Caucasian,(F3),Possession of Oxycodone,1,2,(M1),Driving Under The Influence,0,,,,
72,Female,Other,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
73,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
74,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
75,Male,Caucasian,(F3),arrest case no charge,1,1,(M2),Trespass Struct/Conveyance,0,,,,
76,Male,Caucasian,(F3),Grand Theft Dwell Property,0,,,,0,,,,
77,Female,Hispanic,(F1),arrest case no charge,0,,,,0,,,,
78,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
79,Male,African-American,(F2),Attempt Armed Burglary Dwell,1,1,(M2),Operating W/O Valid License,0,,,,
80,Male,African-American,(F3),Poss Tetrahydrocannabinols,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
81,Male,African-American,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
82,Male,Caucasian,(F3),Tampering With Physical Evidence,0,,,,0,,,,
83,Male,Hispanic,(M1),Possess Cannabis/20 Grams Or Less,0,,,,0,,,,
84,Male,African-American,(M1),Battery,0,,,,0,,,,
85,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
86,Female,Hispanic,(M1),Battery,0,,,,0,,,,
87,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
88,Male,African-American,(M1),Possess Drug Paraphernalia,1,1,(M2),Petit Theft,0,,,,
89,Male,African-American,(F2),Agg Battery Grt/Bod/Harm,0,,,,0,,,,
90,Male,African-American,(F3),Driving While License Revoked,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
91,Male,Caucasian,(M1),Battery,1,2,(M2),Susp Drivers Lic 1st Offense,0,,,,
92,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
93,Male,African-American,(F3),Poss Firearm W/Altered ID#,1,2,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
94,Female,Caucasian,(M1),Battery,0,,,,0,,,,
95,Male,African-American,(F3),Sell Conterfeit Cont Substance,1,2,(M2),Susp Drivers Lic 1st Offense,0,,,,
96,Male,African-American,(F3),arrest case no charge,1,4,(F3),Aggrav Stalking After Injunctn,0,,,,
97,Male,Hispanic,(M2),Unlaw LicTag/Sticker Attach,0,,,,0,,,,
98,Male,African-American,(F2),Aggravated Battery / Pregnant,1,1,(F3),Possession of Cocaine,0,,,,
99,Male,Other,(M1),Battery,0,,,,0,,,,
100,Female,African-American,(M1),Battery,0,,,,0,,,,
101,Male,Hispanic,(F3),Possession of Cocaine,1,1,(M2),Operating W/O Valid License,1,,14001759MM10A,(M1),Battery
102,Male,Hispanic,(F3),Burglary Structure Unoccup,0,,,,0,,,,
103,Female,Caucasian,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
104,Male,African-American,(F3),False Imprisonment,0,,,,0,,,,
105,Male,African-American,(M1),arrest case no charge,0,,,,0,,,,
106,Male,African-American,(M1),Battery,0,,,,0,,,,
107,Male,African-American,(F3),False Name By Person Arrest,1,2,(M2),Operating W/O Valid License,0,,,,
108,Male,Caucasian,(F3),arrest case no charge,1,1,(F3),Pos Cannabis W/Intent Sel/Del,0,,,,
110,Female,Hispanic,(M2),DUI Property Damage/Injury,0,,,,0,,,,
111,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
112,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
113,Male,African-American,(M1),Battery,1,2,(M2),Driving License Suspended,0,,,,
114,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
115,Female,African-American,(F2),Poss Cocaine/Intent To Del/Sel,1,3,(M1),Resist/Obstruct W/O Violence,1,,13016053CF10A,(F3),Child Abuse
116,Male,Caucasian,(F7),Burglary Dwelling Assault/Batt,1,1,(M1),Felony Battery w/Prior Convict,1,,15007890CF10A,(M1),Felony Battery w/Prior Convict
117,Female,African-American,(F3),arrest case no charge,0,,,,0,,,,
118,Male,Caucasian,(M1),Driving Under The Influence,0,,,,0,,,,
119,Male,African-American,(F3),Felony Battery (Dom Strang),0,,,,0,,,,
120,Male,African-American,(M2),arrest case no charge,0,,,,0,,,,
121,Male,Caucasian,(M1),Battery,0,,,,0,,,,
122,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,1,2,(M1),Possess Cannabis/20 Grams Or Less,1,,15006514CF10A,(F3),Battery on a Person Over 65
123,Male,African-American,(MO3),arrest case no charge,0,,,,0,,,,
124,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
126,Male,Caucasian,(F3),Burglary Conveyance Unoccup,0,,,,0,,,,
127,Male,Other,(F3),arrest case no charge,1,1,(M2),Susp Drivers Lic 1st Offense,0,,,,
128,Male,African-American,(F2),arrest case no charge,1,5,(M1),Resist/Obstruct W/O Violence,1,,16003005CF10A,(M1),Battery
130,Male,Other,(F3),Tampering With Physical Evidence,1,2,(F2),Robbery / No Weapon,1,,14001348CF10A,(F2),Agg Battery Grt/Bod/Harm
131,Male,African-American,(F3),Attempted Burg/struct/unocc,1,2,(M1),Resist/Obstruct W/O Violence,0,,,,
132,Male,African-American,(M2),arrest case no charge,1,2,(M2),Leave Acc/Attend Veh/More $50,0,,,,
133,Male,African-American,(F1),arrest case no charge,0,,,,0,,,,
134,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
135,Male,African-American,(F2),arrest case no charge,0,,,,0,,,,
136,Female,African-American,(M2),arrest case no charge,0,,,,0,,,,
137,Male,African-American,(F2),Deliver Cocaine,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
138,Male,Caucasian,(F3),Possession Burglary Tools,1,1,(M1),Resist/Obstruct W/O Violence,0,,,,
139,Male,Other,(F3),Grand Theft in the 3rd Degree,1,2,(M1),Possess Drug Paraphernalia,0,,,,
141,Male,Caucasian,(F3),Burglary Conveyance Unoccup,0,,,,0,,,,
142,Male,Caucasian,(F3),Pos Cannabis W/Intent Sel/Del,1,1,(M2),Driving License Suspended,1,,15006549MM10A,(M1),Battery
143,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,0,,,,0,,,,
144,Male,African-American,(M1),Battery,0,,,,0,,,,
146,Male,Caucasian,(F3),Possession Of Alprazolam,1,1,(F3),Possession of Hydromorphone,0,,,,
147,Male,Caucasian,(F2),Flee/Elude LEO-Agg Flee Unsafe,0,,,,0,,,,
148,Female,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,0,,,,0,,,,
150,Female,Hispanic,(M1),Battery,0,,,,0,,,,
151,Male,African-American,(M2),Battery,1,5,(M1),Viol Injunction Protect Dom Violence,1,,15002656CF10A,(F3),Battery on Law Enforc Officer
152,Male,African-American,(F2),arrest case no charge,0,,,,0,,,,
153,Male,African-American,(F3),Fail To Redeliv Hire/Leas Prop,0,,,,0,,,,
154,Female,Caucasian,(F3),Aggravated Assault W/Dead Weap,1,1,(M1),Battery,1,,13020368MM10A,(M1),Battery
155,Female,African-American,(M1),Battery,0,,,,0,,,,
156,Male,Caucasian,(F3),False Ownership Info/Pawn Item,1,2,(F2),Poss Wep Conv Felon,0,,,,
157,Male,Caucasian,(F3),Possession Of Methamphetamine,0,,,,0,,,,
158,Male,Caucasian,(M1),Battery,0,,,,0,,,,
159,Female,Caucasian,(F3),Possession of Morphine,0,,,,0,,,,
160,Male,African-American,(F3),arrest case no charge,1,1,(F3),Aggravated Assault W/Dead Weap,1,,15007122CF10A,(F3),Aggravated Assault W/Dead Weap
161,Male,Caucasian,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
162,Female,Other,(F2),Aggrav Battery w/Deadly Weapon,0,,,,0,,,,
163,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
164,Male,African-American,(F3),Tampering With Physical Evidence,0,,,,0,,,,
165,Female,African-American,(M1),Battery,0,,,,0,,,,
166,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,5,(M1),Resist/Obstruct W/O Violence,0,,,,
167,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
168,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
169,Male,Caucasian,(M1),Possess Cannabis/20 Grams Or Less,1,2,(F3),Possession of Cannabis,0,,,,
170,Male,African-American,(F3),Robbery / No Weapon,0,,,,0,,,,
171,Male,Caucasian,(F3),Aggravated Assault w/Firearm,0,,,,0,,,,
172,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
173,Male,African-American,(F3),Poss Contr Subst W/o Prescript,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
175,Male,Caucasian,(F3),Aggrav Stalking After Injunctn,1,1,(F3),Aggrav Stalking After Injunctn,0,,,,
176,Male,African-American,(F3),Possession of Cocaine,1,1,(M1),Resist/Obstruct W/O Violence,0,,,,
177,Male,African-American,(F3),Uttering a Forged Instrument,1,2,(F3),Uttering a Forged Instrument,0,,,,
178,Male,African-American,(F3),Driving While License Revoked,1,1,(M2),Operating W/O Valid License,0,,,,
179,Male,Caucasian,(M2),Criminal Mischief Damage <$200,0,,,,0,,,,
180,Male,African-American,(M1),Battery,0,,,,0,,,,
181,Male,African-American,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
182,Female,Other,(F3),Crim Use of Personal ID Info,0,,,,0,,,,
183,Male,Caucasian,(F3),arrest case no charge,1,1,(F2),Burglary Unoccupied Dwelling,1,,14015876MM10A,(M1),Battery
184,Male,African-American,(F3),Possession of Cocaine,1,3,(F3),Felony Driving While Lic Suspd,0,,,,
185,Female,Caucasian,(F3),Grand Theft (Motor Vehicle),0,,,,0,,,,
186,Male,Hispanic,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
187,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
188,Male,Asian,(MO3),Failure To Pay Taxi Cab Charge,0,,,,0,,,,
189,Male,Caucasian,(M1),Battery,0,,,,0,,,,
190,Male,African-American,(F3),arrest case no charge,1,1,(M2),Petit Theft,0,,,,
191,Male,Caucasian,(F3),Obstruct Officer W/Violence,0,,,,0,,,,
192,Female,Caucasian,(M1),Resist/Obstruct W/O Violence,0,,,,0,,,,
193,Male,Caucasian,(F3),Possession Of Alprazolam,1,1,(M2),Petit Theft,0,,,,
194,Male,Caucasian,(F3),Possession Of Alprazolam,0,,,,0,,,,
195,Female,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
196,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
197,Male,Caucasian,(M2),Agg Fleeing and Eluding,0,,,,0,,,,
199,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
200,Female,Other,(M2),Petit Theft,0,,,,0,,,,
201,Male,Caucasian,(F3),Possession of Cannabis,0,,,,0,,,,
202,Male,Caucasian,(M2),Disorderly Intoxication,1,1,(M1),Viol Injunct Domestic Violence,0,,,,
203,Female,African-American,(M1),Battery,0,,,,0,,,,
204,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
205,Male,African-American,(F2),Burglary Unoccupied Dwelling,0,,,,0,,,,
206,Female,Caucasian,(F3),Grand Theft in the 3rd Degree,1,4,(F3),Uttering a Forged Instrument,0,,,,
207,Female,Caucasian,(F3),Uttering a Forged Instrument,0,,,,0,,,,
208,Male,Caucasian,(M1),Battery,1,1,(M1),Viol Injunct Domestic Violence,0,,,,
209,Female,Hispanic,(F3),Battery on Law Enforc Officer,1,1,(M1),Battery,1,,14007741MM10A,(M1),Battery
210,Male,African-American,(F3),Possession of Cocaine,1,5,(F3),Possession of Cocaine,0,,,,
211,Male,Hispanic,(F3),Resist Officer w/Violence,0,,,,0,,,,
212,Male,Other,(M1),Battery,0,,,,0,,,,
213,Male,Caucasian,(M1),Resist/Obstruct W/O Violence,1,1,(M1),Theft/To Deprive,0,,,,
214,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
215,Male,African-American,(M2),Lewdness Violation,1,1,(M2),Driving License Suspended,0,,,,
216,Male,Caucasian,(F3),Possession of Cocaine,1,1,(M2),Expired DL More Than 6 Months,0,,,,
217,Male,African-American,(F2),Poss of Firearm by Convic Felo,0,,,,0,,,,
218,Female,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
219,Male,Caucasian,(M1),Driving Under The Influence,0,,,,0,,,,
220,Female,African-American,(F3),arrest case no charge,0,,,,0,,,,
221,Male,African-American,(F2),arrest case no charge,0,,,,0,,,,
222,Female,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,0,,,,0,,,,
223,Male,African-American,(F3),Possession of Cocaine,1,2,(M1),Resist/Obstruct W/O Violence,0,,,,
224,Male,African-American,(F3),Poss Pyrrolidinovalerophenone,1,1,(F3),Poss Pyrrolidinovalerophenone,1,,15004732CF10A,(F1),Manslaughter with Weapon
225,Male,African-American,(M2),Assault,1,1,(M1),Possess Cannabis/20 Grams Or Less,1,,14011238CF10A,(M1),Battery
226,Male,African-American,(MO3),arrest case no charge,0,,,,0,,,,
227,Female,African-American,(F3),Possession of Oxycodone,1,2,(M2),Unlaw LicTag/Sticker Attach,0,,,,
228,Female,African-American,(F3),Possession of Cocaine,1,3,(M2),Prostitution/Lewd Act Assignation,0,,,,
229,Male,African-American,(F3),Tampering With Physical Evidence,1,2,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
230,Male,African-American,(M2),Assault,0,,,,0,,,,
231,Female,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
232,Female,Caucasian,(M2),Fail To Obey Police Officer,0,,,,0,,,,
233,Male,African-American,(M1),Burglary Dwelling Occupied,0,,,,0,,,,
234,Female,African-American,(F3),Solicit Purchase Cocaine,1,1,(M2),Petit Theft,0,,,,
235,Male,Other,(F3),Felony Petit Theft,1,1,(M2),Petit Theft,0,,,,
236,Male,Hispanic,(F3),arrest case no charge,0,,,,0,,,,
238,Female,African-American,(F3),arrest case no charge,1,2,(F3),Aggravated Assault W/Dead Weap,1,,15006709CF10A,(F3),Aggravated Assault W/Dead Weap
239,Male,Hispanic,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
240,Female,Other,(F1),Grand Theft in the 1st Degree,0,,,,0,,,,
241,Female,African-American,(M1),Driving Under The Influence,1,1,(M2),Susp Drivers Lic 1st Offense,0,,,,
242,Male,African-American,(M1),Battery,0,,,,0,,,,
243,Male,Caucasian,(X),,0,,,,0,,,,
244,Female,Caucasian,(F3),Possession Of Carisoprodol,1,1,(F3),Fraudulent Use of Credit Card,0,,,,
245,Male,African-American,(F7),Burglary Conveyance Assault/Bat,0,,,,0,,,,
246,Male,Caucasian,(M1),Battery,0,,,,0,,,,
247,Male,Caucasian,(M1),Felony Battery (Dom Strang),0,,,,0,,,,
248,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
249,Male,Caucasian,(F3),Driving While License Revoked,1,4,(M2),Susp Drivers Lic 1st Offense,0,,,,
250,Male,Caucasian,(F3),Felony Petit Theft,0,,,,0,,,,
251,Female,Caucasian,(F3),Crim Use of Personal ID Info,0,,,,0,,,,
253,Male,African-American,(M1),Battery,0,,,,0,,,,
254,Male,African-American,(M1),Battery,1,1,(M2),Prowling/Loitering,0,,,,
255,Male,African-American,(F7),Burglary Dwelling Armed,0,,,,0,,,,
256,Female,African-American,(M1),Battery,0,,,,0,,,,
258,Female,African-American,(F3),Aggravated Assault W/dead Weap,0,,,,0,,,,
259,Male,Hispanic,(M2),Leave Acc/Attend Veh/More $50,0,,,,0,,,,
260,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
261,Male,African-American,(M1),Battery,0,,,,0,,,,
262,Female,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
263,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
264,Male,Hispanic,(F3),arrest case no charge,1,2,(M1),Unlaw Use False Name/Identity,0,,,,
265,Male,African-American,(M1),Resist/Obstruct W/O Violence,1,2,(M2),Fail Register Vehicle,1,,15003512CF10A,(F2),Aggrav Battery w/Deadly Weapon
266,Male,Hispanic,(F2),Burglary Unoccupied Dwelling,0,,,,0,,,,
267,Male,Hispanic,(F3),Possession Of Heroin,0,,,,0,,,,
268,Male,Caucasian,(M1),Driving Under The Influence,1,4,(F3),Leaving the Scene of Accident,0,,,,
269,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
270,Male,Hispanic,(M1),Possess Cannabis/20 Grams Or Less,0,,,,0,,,,
271,Male,Other,(F2),Burglary Unoccupied Dwelling,0,,,,0,,,,
272,Male,African-American,(F3),Child Abuse,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
273,Male,African-American,(MO3),Poss Of Controlled Substance,0,,,,0,,,,
274,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
275,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,1,1,(M2),Operating W/O Valid License,0,,,,
277,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,1,2,(F3),Grand Theft in the 3rd Degree,0,,,,
278,Male,African-American,(M1),Battery,1,1,(M1),Extradition/Defendants,0,,,,
279,Male,Hispanic,(F3),Driving While License Revoked,0,,,,0,,,,
280,Female,Caucasian,(F3),Possession of Cocaine,1,2,(M1),Unlaw Use False Name/Identity,0,,,,
281,Male,African-American,(F2),Agg Battery Grt/Bod/Harm,1,1,(M1),Battery,1,,16000414MM20A,(M1),Battery
282,Male,Caucasian,(M1),Viol Injunct Domestic Violence,1,1,(M1),Viol Injunct Domestic Violence,0,,,,
283,Female,Caucasian,(M1),Petit Theft $100- $300,0,,,,0,,,,
284,Male,Other,(F3),Unlaw Fail Secur Work Comp Ins,0,,,,0,,,,
285,Female,Other,,,1,1,(M2),Driving License Suspended,0,,,,
286,Male,African-American,(F2),Poss Cocaine/Intent To Del/Sel,1,3,(F3),Possession of Cocaine,0,,,,
287,Male,African-American,(M1),Battery,1,1,(M1),Battery,1,,14005925MM10A,(M1),Battery
288,Male,Caucasian,(F3),Possession Of Methamphetamine,1,2,(M1),Possess Drug Paraphernalia,0,,,,
289,Male,African-American,(F2),Deliver Cocaine,1,2,(F3),Poss Pyrrolidinovalerophenone,0,,,,
290,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
291,Male,Caucasian,(F3),Lewd or Lascivious Molestation,0,,,,0,,,,
292,Female,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
293,Male,African-American,(F3),Possession of Cannabis,1,1,(F2),Robbery W/Firearm,1,,15003342CF10A,(F2),Robbery W/Firearm
294,Male,African-American,(M1),Battery,1,1,(F3),,0,,,,
295,Male,African-American,(F3),Possession of Oxycodone,0,,,,0,,,,
297,Female,African-American,(M1),Battery,0,,,,0,,,,
298,Male,Other,(M1),Battery,1,1,(F2),Poss of Firearm by Convic Felo,0,,,,
299,Male,Caucasian,(F3),Sexual Performance by a Child,0,,,,0,,,,
300,Female,Caucasian,(M2),Leaving Acc/Unattended Veh,0,,,,0,,,,
301,Male,Caucasian,(M1),Battery,0,,,,0,,,,
302,Female,African-American,(F3),Felony Petit Theft,1,3,(F3),Felony Petit Theft,0,,,,
303,Male,Caucasian,(F1),arrest case no charge,0,,,,0,,,,
304,Male,Other,(F3),arrest case no charge,1,4,(F3),False Ownership Info/Pawn Item,0,,,,
305,Male,Asian,(F1),Robbery W/Firearm,0,,,,0,,,,
307,Male,Other,(F3),Felony DUI (level 3),0,,,,0,,,,
308,Male,African-American,(M1),Criminal Mischief,0,,,,0,,,,
309,Female,Caucasian,(M1),Battery,0,,,,0,,,,
310,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,0,,,,0,,,,
311,Male,Caucasian,(F3),arrest case no charge,1,1,(M1),Battery,1,,13009339MM10A,(M1),Battery
313,Female,Caucasian,(F3),Felony Petit Theft,1,4,(F3),Grand Theft in the 3rd Degree,0,,,,
314,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
315,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
316,Male,Caucasian,(M2),Trespass Struct/Conveyance,0,,,,0,,,,
317,Female,African-American,(F1),arrest case no charge,0,,,,0,,,,
318,Male,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
319,Male,Caucasian,(F3),Felony Driving While Lic Suspd,1,2,(M2),Driving License Suspended,0,,,,
320,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
321,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,0,,,,0,,,,
322,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
323,Male,Hispanic,(M1),DUI Property Damage/Injury,0,,,,0,,,,
324,Female,Other,(F3),arrest case no charge,0,,,,0,,,,
325,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
326,Female,Caucasian,(M1),Driving Under The Influence,1,1,(M1),Battery,1,,14010147MM10A,(M1),Battery
327,Male,Caucasian,(M1),Battery,0,,,,0,,,,
328,Male,Caucasian,(F3),Poss Similitude of Drivers Lic,0,,,,0,,,,
329,Male,Other,(M1),Possess Cannabis/20 Grams Or Less,1,2,(M2),Driving License Suspended,0,,,,
330,Male,African-American,(F3),Aggravated Battery (Firearm/Actual Possession),0,,,,0,,,,
331,Male,Caucasian,(F3),arrest case no charge,1,1,(M2),Petit Theft,0,,,,
332,Female,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
333,Female,African-American,(M1),Battery,0,,,,0,,,,
334,Male,African-American,(F2),Robbery / No Weapon,1,2,(F3),Crim Use of Personal ID Info,0,,,,
335,Male,African-American,(M1),Battery,1,1,(M1),Battery,1,,15007263MM10A,(M1),Battery
