person_id,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,num_r_cases,vr_charge_degree
1349,43,0,0,0,1,0,,
1354,27,0,0,0,1,1,,
1358,28,0,0,0,6,3,1,
1367,33,0,0,0,2,0,2,
1376,28,0,0,0,5,1,,
1381,42,0,0,0,1,0,,
1383,30,0,0,0,4,0,,
1387,35,0,0,0,3,1,,
1393,49,0,0,0,1,3,6,
1397,63,0,0,0,9,3,,
1411,69,0,0,0,1,0,,
1418,45,0,0,0,3,1,,
1427,32,0,0,0,9,14,1,(F2)
1433,21,0,0,0,8,1,,
1448,23,0,0,0,3,0,,
1467,29,0,0,1,7,10,1,
1471,22,0,0,0,5,2,1,(F3)
1478,37,0,0,0,2,0,,
1479,52,0,0,0,1,6,3,
1484,32,0,0,0,9,8,2,
1485,21,0,0,0,7,1,1,(M1)
1504,55,0,0,0,3,6,,
1531,21,0,0,1,5,1,1,
1535,22,0,0,0,7,1,3,
1578,39,0,0,0,1,1,,
1588,35,0,0,0,10,1,1,
1591,53,0,0,0,1,0,,
1593,57,0,0,0,1,0,,
1596,27,0,0,0,3,1,1,
1610,21,0,0,2,6,4,,
1619,38,0,0,0,4,2,,
1623,57,0,0,0,7,19,,
1638,45,0,0,0,3,10,1,
1646,47,0,0,0,1,0,,
1660,27,0,0,1,10,9,4,(F1)
1666,62,0,0,0,1,2,2,
1667,20,0,0,0,5,0,1,
1673,29,0,0,0,7,7,2,(M1)
1682,40,0,0,0,1,3,,
1684,24,0,0,0,7,2,,
1696,35,0,0,0,8,10,,
1715,43,0,0,0,6,9,1,(M1)
1718,25,0,1,0,9,11,1,(F3)
1725,27,0,0,0,3,0,1,
1741,24,0,0,0,6,5,3,
1746,25,0,0,0,3,1,1,
1747,31,0,0,0,5,3,,
1755,24,0,0,0,7,0,,
1792,25,0,0,0,9,7,1,(F2)
1796,21,0,0,0,3,0,1,
1800,50,0,0,0,5,4,,
1801,23,0,0,0,3,0,,
1806,33,0,0,0,5,2,3,
1826,47,0,0,0,1,2,,
1833,24,0,0,0,3,0,,
1855,27,0,0,0,10,3,,
1856,21,0,0,0,4,1,,
1857,29,0,0,0,8,0,,
1899,32,0,0,0,1,0,,
1906,30,0,0,0,4,3,,
1911,37,0,0,0,6,9,,
1922,31,0,0,0,3,0,,
1927,31,0,0,0,3,4,2,
1929,26,0,0,0,5,0,4,
1941,28,0,0,0,1,0,,
1943,24,0,0,0,3,0,2,
1944,57,0,0,0,9,16,,
1957,30,0,0,0,1,0,,
1971,44,0,0,0,5,2,,
1994,29,0,0,0,10,7,1,(F2)
1995,51,0,0,0,1,7,3,(M1)
1997,41,0,0,0,5,10,,
2006,22,0,0,0,8,0,1,
2015,57,0,0,0,1,2,,
2017,34,0,0,0,2,5,,
2019,20,2,0,0,8,2,1,
2021,45,0,0,0,1,0,,
2036,32,1,2,0,10,17,2,
2042,58,0,0,0,1,4,,
2044,33,0,0,0,2,0,,
2055,22,0,0,0,9,6,,
2081,21,0,0,0,9,1,,
2084,32,0,0,0,10,1,,
2090,23,0,0,0,4,0,,
2094,35,0,0,0,4,1,,
2106,47,0,0,0,3,5,,
2114,27,0,0,0,9,15,,
2117,57,0,0,0,9,20,,
2124,61,0,0,0,1,0,,
2126,23,0,0,0,8,5,1,
2128,26,0,0,0,3,3,1,
2136,28,0,0,0,2,1,,
2147,31,0,0,0,2,0,,
2155,57,0,0,0,7,15,,
2162,37,0,0,0,4,0,,
2179,54,0,0,0,1,9,,
2186,43,0,0,0,2,1,2,(F3)
2209,28,0,0,1,3,3,1,
2244,31,0,0,0,6,4,,
2260,24,0,0,0,2,0,,
2277,25,0,0,1,9,5,1,(F3)
2314,56,0,0,0,2,3,,
2317,27,0,0,0,5,6,1,
2331,41,0,0,0,4,0,,
2335,28,0,0,0,6,4,2,(F3)
2342,29,0,0,0,8,11,,
2350,30,0,0,0,10,7,1,
2371,33,0,0,0,2,2,,
2392,38,0,0,1,4,10,1,
2448,21,0,0,0,8,0,4,
2454,32,0,0,0,1,1,,
2458,33,0,0,0,2,0,,
2471,45,0,0,0,6,4,,
2481,35,0,0,0,1,2,,
2486,33,0,0,0,6,7,,
2490,37,0,0,0,5,8,1,
2493,32,0,0,0,6,6,1,
2494,23,0,0,0,7,2,1,
2506,21,0,0,2,5,1,,
2508,25,0,0,0,7,2,,
2513,22,0,0,1,10,13,1,
2539,25,0,0,0,7,4,1,(F3)
2568,48,0,0,0,9,14,2,
2584,23,0,0,0,7,3,,
2599,45,0,0,0,2,1,,
2605,45,0,0,0,8,1,,
2610,51,0,0,0,2,1,,
2616,23,0,0,0,5,2,,
2618,34,0,0,0,9,27,2,
2621,31,0,0,0,7,1,2,(M1)
2625,51,0,0,0,2,3,,
2627,31,0,0,0,2,1,,
2632,56,0,0,0,1,4,,
2638,23,0,0,3,4,0,,
2641,31,0,0,0,3,0,,
2648,30,0,0,0,2,0,,
2655,22,0,0,0,3,0,,
2672,30,1,0,0,9,5,2,(M1)
2673,23,0,1,1,2,1,1,(M1)
2682,25,0,0,0,2,1,,
2698,60,0,0,0,1,0,1,
2704,29,0,0,0,2,0,1,
2726,25,1,0,0,9,4,,
2738,31,0,0,0,1,0,,
2742,27,0,0,0,7,3,2,
2765,26,0,0,0,2,0,,
2766,28,0,0,0,8,8,3,
2798,46,0,0,0,1,1,,
2801,30,0,0,0,5,5,,
2802,43,0,0,0,1,0,,
2804,44,0,0,0,4,10,1,
2806,25,0,0,0,7,1,,
2811,23,0,0,1,10,4,,
2815,55,0,0,0,3,6,,
2819,24,0,0,0,10,0,2,
2836,51,0,0,0,1,1,1,
2848,23,0,0,0,8,0,2,(F2)
2866,61,0,0,0,1,2,,
2880,50,0,0,0,3,8,,
2884,23,0,0,1,5,1,,
2889,26,0,0,0,4,7,,
2893,27,0,0,0,8,4,,
2900,24,0,0,0,7,3,,
2912,43,0,0,0,3,3,,
2917,26,0,0,1,4,3,1,
2920,47,0,0,0,1,0,,
2927,34,0,0,0,5,7,2,
2981,39,0,0,0,1,0,,
2996,21,0,0,0,4,0,,
3003,42,0,0,0,4,1,,
3004,29,0,0,0,8,8,3,
3016,32,0,0,1,5,4,,
3017,29,0,0,0,1,1,,
3028,53,0,0,0,-1,0,,
3031,29,0,0,0,10,7,2,
3033,31,0,0,0,6,5,2,
3036,33,0,0,0,1,0,,
3066,25,0,0,0,4,1,,
3071,41,0,0,0,2,4,1,
3096,60,0,0,0,1,0,1,
3101,30,0,0,0,2,2,,
3114,41,0,0,0,8,2,1,
3121,37,0,0,0,1,1,,
3127,57,0,0,0,1,1,,
3131,40,0,0,0,5,8,1,
3137,48,0,0,0,8,2,1,(M1)
3149,25,0,0,0,4,0,,
3153,32,0,0,0,3,0,,
3156,49,0,0,0,1,4,,
3161,36,0,0,0,1,0,,
3162,29,0,0,1,7,7,4,(M1)
3169,53,0,0,0,1,0,,
3173,60,0,0,0,1,2,,
3179,45,0,0,0,1,0,,
3185,34,1,0,0,6,9,,
3189,33,0,0,0,9,23,4,
3196,24,0,3,2,10,8,,
3202,38,0,0,0,1,0,,
3213,28,0,0,0,1,0,,
3217,26,0,0,0,2,0,,
3238,29,0,0,1,10,11,2,
3246,30,0,0,0,3,0,,
3250,52,0,0,0,1,2,,
3266,24,0,0,0,6,3,,
3269,31,0,0,0,2,0,,
3294,20,0,0,0,5,0,1,
3296,42,0,0,0,3,0,,
3315,62,0,0,0,1,0,,
3329,43,0,0,0,4,0,1,
3367,24,0,0,0,4,0,,
3368,32,0,0,0,1,0,,
3375,52,0,0,0,7,9,3,
3397,62,0,0,0,7,1,,
3408,19,0,0,0,3,0,1,
3411,27,0,0,0,2,0,,
3429,21,0,0,0,6,0,1,
3437,21,0,0,0,6,0,,
3442,29,0,0,0,8,11,2,
3451,46,0,0,0,2,2,,
3454,28,0,0,0,3,9,2,
3456,21,0,1,0,8,1,2,(F3)
3470,23,0,0,0,2,1,3,
3475,43,0,0,0,5,5,,
3488,36,0,0,0,1,2,,
3494,22,0,0,0,10,8,,
3495,34,0,0,0,6,1,,
3504,26,0,0,0,4,2,,
3540,23,0,0,0,2,0,1,
3553,36,0,0,0,5,3,,
3558,36,0,0,0,7,3,,
3562,52,0,0,0,1,0,,
3564,27,0,0,1,7,8,1,
3575,44,0,0,0,1,0,,
3591,27,0,0,0,3,2,,
3607,57,0,0,0,3,3,1,
3608,37,0,0,0,2,1,,
3627,44,3,0,0,7,16,,
3640,24,0,0,0,7,7,,
3645,34,0,0,0,1,0,,
3647,20,0,0,0,3,0,,
3655,55,0,0,0,4,1,,
3659,66,0,0,0,1,1,,
3660,46,0,0,0,3,2,,
3663,33,0,0,0,6,8,1,
3686,24,0,0,0,5,0,,
3691,19,0,0,0,9,0,1,(F3)
3706,39,0,0,0,1,1,,
3724,38,0,0,0,1,1,,
3737,27,0,0,0,2,0,,
3759,31,0,0,0,8,14,,
3766,22,0,0,0,2,0,1,
3777,35,0,0,0,3,0,,
3785,21,0,1,1,3,1,1,
3790,29,0,0,0,3,1,,
3810,43,0,0,0,4,0,,
3812,26,0,0,0,5,1,1,
3835,62,0,0,0,1,0,,
3841,56,0,0,0,2,1,,
3843,56,0,0,0,1,2,1,
3851,54,0,0,0,7,2,,
3861,26,0,0,0,6,3,,
3864,61,0,0,0,1,0,,
3873,54,0,0,0,8,3,,
3896,23,0,0,0,7,6,2,
3901,21,0,0,0,9,0,,
3905,35,0,0,0,1,2,,
3911,45,0,0,0,6,8,,
3923,56,0,0,0,1,4,,
3930,45,0,0,0,2,2,,
3938,33,0,0,0,6,3,,
3947,40,0,0,0,1,1,,
3952,37,0,0,0,4,0,,
3968,24,0,0,0,2,1,,
3982,44,0,0,0,1,0,,
3996,49,0,0,0,1,5,,
4009,25,0,0,0,2,1,,
4011,27,0,0,0,6,0,,
4043,21,0,0,0,6,1,,
4050,42,0,0,0,2,2,,
4052,36,0,0,0,5,6,,
4057,40,0,0,0,1,1,,
4064,33,0,0,0,4,2,,
4076,33,0,0,0,6,6,,
4078,47,0,0,0,1,0,1,
4081,27,0,0,0,3,1,,
4086,26,0,0,0,10,13,1,
4097,35,0,0,0,1,1,,
4109,41,0,0,0,4,4,,
4114,44,0,0,0,1,0,,
4118,27,0,0,0,6,6,1,
4157,22,0,0,0,4,0,1,
4164,40,0,0,0,4,4,3,
4169,35,0,0,0,3,2,1,
4178,27,0,0,0,3,0,,
4183,59,0,0,0,1,0,,
4224,49,0,0,0,1,0,,
4227,32,0,0,0,1,0,4,
4248,33,0,0,0,9,8,2,
4252,47,0,0,0,1,2,,
4275,53,0,0,0,3,1,,
4278,45,0,0,0,7,4,,
4283,24,0,0,0,7,2,2,(F2)
4290,29,0,0,0,1,1,,
4305,38,0,0,0,1,0,,
4319,56,0,0,0,4,2,,
4338,50,1,0,0,2,5,,
4339,41,0,0,0,10,19,3,(F2)
4393,21,0,0,0,4,0,1,
4405,35,0,0,0,8,23,,
4427,24,0,0,0,9,6,,
4434,26,0,0,0,7,9,1,(M2)
4435,48,0,0,0,1,0,,
4456,29,0,0,0,1,0,,
4462,26,0,0,0,3,1,,
4463,45,0,1,0,2,7,2,
4465,40,0,0,0,1,0,,
4496,24,0,0,0,3,0,,
4498,26,0,0,0,7,10,4,
4523,48,0,0,0,1,0,,
4548,22,0,0,0,5,2,,
4557,33,0,0,0,5,3,,
4571,21,0,0,0,3,0,,
4574,31,0,0,0,8,9,1,(F3)
4587,36,0,0,0,7,0,1,
4592,21,0,0,1,10,0,1,
4601,40,0,0,0,8,7,,
4603,39,0,0,0,3,2,1,
4615,24,0,0,0,6,2,,
4624,32,0,0,0,8,2,1,(M1)
4635,28,0,0,0,2,0,,
4640,25,0,1,1,10,10,3,
4653,26,0,0,0,8,11,,
4658,34,0,0,0,6,5,,
4665,21,0,0,0,4,0,,
4681,21,0,0,0,10,1,1,
4684,35,0,0,0,10,0,1,
4735,23,0,0,0,7,0,,
4740,55,0,0,0,1,0,,
4745,31,0,0,0,5,3,,
4765,45,0,0,0,1,3,,
4772,24,0,0,0,10,0,,
4774,61,0,0,0,1,0,,
4777,29,0,0,0,1,0,,
4783,31,0,0,0,4,1,3,
4810,69,0,0,0,1,0,,
4815,35,0,0,0,6,2,,
4845,26,0,0,0,2,2,1,(M1)
4877,22,0,0,0,3,2,1,
4880,27,0,0,0,7,3,,
4887,29,0,0,0,5,6,2,(M1)
4910,24,0,0,0,4,0,1,
4913,31,0,0,0,2,1,,
4914,23,0,1,0,8,7,2,(M1)
4915,22,0,0,0,5,1,,
4924,47,0,0,0,1,0,,
4936,26,0,0,0,2,3,1,
4975,52,0,0,0,1,0,,
4985,20,0,0,0,5,1,,
4987,23,0,0,0,6,0,,
4992,42,0,0,0,6,9,1,
4996,27,0,0,0,1,1,,
5021,38,3,0,0,9,11,,
5028,53,0,0,0,1,2,,
5029,22,0,0,0,3,0,,
5031,21,0,0,0,2,0,,
5036,21,0,0,11,10,2,,
5038,34,0,0,0,8,3,,
5051,30,0,1,1,3,3,,
5081,45,0,0,0,4,4,,
5086,46,0,0,0,1,0,3,(F3)
5095,26,0,0,0,4,3,,
5096,38,0,0,0,4,0,,
5103,30,0,0,0,9,7,,
5115,46,0,0,0,1,0,,
5117,20,0,1,0,9,2,1,
5123,31,0,0,0,3,3,1,(F2)
5140,25,0,0,0,1,0,1,
5157,22,0,0,0,7,1,,
5162,41,0,0,0,3,0,,
5165,22,0,0,0,3,1,,
5169,25,0,0,0,5,4,,
5175,57,0,0,0,1,0,,
5187,71,0,0,0,2,13,,
5191,23,0,0,0,8,0,1,
5196,33,0,0,0,4,1,,
5200,31,0,0,0,6,0,,
5205,24,0,0,0,9,8,1,
5218,46,0,0,0,3,2,,
5230,21,0,0,0,4,0,,
5238,27,0,0,0,4,0,,
5242,34,0,0,0,3,1,,
5253,33,0,0,0,7,3,1,
5271,28,0,0,0,4,0,1,
5278,21,0,0,0,8,0,5,
5283,36,0,1,0,7,7,,
5289,28,0,0,0,5,7,1,
5294,44,0,0,0,4,7,,
5303,54,0,0,0,5,26,,
5316,26,0,0,0,3,1,1,
5325,28,0,0,0,2,0,,
5327,32,0,0,0,1,1,4,
5328,43,0,0,0,1,1,,
5338,48,0,0,0,1,0,,
5344,32,0,0,0,1,0,,
5347,42,0,0,0,6,5,,
5357,30,0,0,0,4,5,,
5358,26,0,0,0,3,0,1,
5394,56,0,0,0,2,3,,
5395,27,0,0,0,7,2,1,
5406,31,0,0,0,3,2,,
5410,39,0,0,0,1,0,,
5414,28,0,0,0,9,9,,
5428,25,0,0,0,4,5,1,
5445,34,0,2,0,10,9,1,(F6)
5450,55,0,0,0,3,2,,
5468,22,0,0,0,2,0,,
5482,30,0,0,0,5,5,1,
5490,28,0,0,0,10,10,,
5505,60,0,0,0,1,0,,
5510,41,0,0,0,1,0,,
5515,45,0,0,0,1,1,,
5520,50,0,0,0,1,1,,
5535,21,0,0,1,6,1,3,
5547,42,0,0,0,8,19,,
5557,51,0,0,0,4,0,1,
5564,35,0,0,0,4,5,3,(M1)
5579,43,0,0,0,9,5,,
5585,43,0,0,0,1,4,2,
5592,39,0,0,0,5,9,1,
5614,33,0,0,0,8,2,2,(M1)
5620,25,0,0,2,9,11,3,
5623,32,0,0,0,6,0,1,
5631,36,0,0,0,9,1,,
5634,39,0,0,0,1,0,,
5637,60,0,0,0,1,1,,
5646,23,0,0,0,6,6,1,(F3)
5647,42,0,0,0,1,0,1,
5670,18,5,0,0,8,4,3,
5692,40,0,0,0,1,0,1,
5697,22,0,0,0,3,0,,
5703,49,0,0,0,1,0,,
5715,23,0,0,0,3,0,,
5738,51,0,0,0,3,3,,
5755,56,0,0,0,1,2,,
5765,51,1,0,1,9,19,,
5784,35,0,0,0,5,3,1,(M1)
5785,33,0,0,0,1,0,,
5821,31,0,0,0,5,3,,
5822,37,0,0,0,1,0,,
5828,39,0,0,0,8,7,2,(F3)
5833,47,0,0,0,1,3,,
5839,35,0,0,0,4,7,,
5841,27,0,0,0,6,1,,
5844,26,0,0,1,5,3,,
5849,29,0,0,0,6,0,,
5866,22,0,0,1,2,2,,
5871,54,0,0,0,2,2,,
5873,33,0,0,0,8,14,6,(F3)
5876,37,0,0,0,3,2,,
5900,32,0,0,0,5,4,,
5904,26,0,0,0,8,4,1,
5909,42,0,0,0,4,4,,
5910,56,0,0,0,6,18,,
5913,52,0,0,0,2,4,,
5925,63,0,0,0,1,0,,
5939,45,0,0,0,1,2,,
5960,55,0,0,0,1,0,,
5993,51,0,0,0,2,1,,
6004,30,0,0,0,1,0,,
6012,31,0,0,0,10,1,,
6016,21,0,0,0,9,0,,
6023,54,0,0,0,1,0,,
6031,34,0,0,0,5,4,,
6036,21,0,0,0,4,0,,
6042,37,0,0,0,4,4,1,
6048,31,0,0,0,8,6,,
6051,23,0,0,2,7,1,,
6052,30,0,0,0,9,23,,
6059,50,0,0,0,6,5,,
6060,25,0,2,0,9,5,,
6092,33,0,0,0,1,1,,
6101,27,0,0,0,2,0,,
6110,23,0,0,0,3,0,,
6112,34,0,0,0,1,0,1,
6120,27,0,0,0,1,0,,
6125,32,0,0,0,1,7,,
6128,21,0,0,0,7,0,,
6133,49,0,0,0,1,0,,
6137,52,0,0,0,1,0,,
6138,55,0,0,0,1,0,,
6150,33,0,0,0,2,0,,
6160,29,0,0,0,8,6,1,
6189,46,0,0,0,2,1,1,(M1)
6195,24,0,1,0,5,3,1,
6208,25,0,0,0,6,1,,
6222,23,0,0,0,3,0,2,
6244,28,0,0,0,5,3,1,
6259,45,0,0,0,1,1,,
6274,28,0,0,0,10,16,4,
6286,24,0,0,0,9,7,1,
6287,32,0,0,0,1,0,,
6293,44,0,0,0,1,0,,
6300,35,0,0,0,5,1,,
6304,27,0,0,0,9,9,2,
6319,23,0,0,0,9,2,1,
6345,20,0,0,0,3,0,,
6357,54,0,0,0,5,13,,
6372,26,0,0,0,6,4,2,(F1)
6380,28,0,0,0,7,3,,
6382,28,0,0,0,2,2,1,
6396,54,0,0,0,1,6,,
6400,30,0,0,0,4,0,1,
6441,36,0,0,0,5,4,,
6458,36,0,0,0,2,0,,
6483,56,0,0,0,2,13,,
6511,29,0,0,0,6,1,1,
6534,33,0,0,0,7,5,,
6546,28,0,0,0,8,2,,
6549,52,0,0,0,1,0,2,
6556,24,0,0,0,3,1,,
6573,25,0,0,0,2,0,1,(M1)
6579,19,0,0,0,6,0,,
6584,30,0,0,1,3,1,,
6669,39,0,0,0,10,35,,
6682,27,0,0,0,8,5,,
6683,24,0,0,0,6,3,2,
6688,42,0,0,0,4,0,,
6699,35,0,0,0,7,4,,
6725,24,0,0,1,4,2,,
6735,51,0,0,0,1,0,,
6760,33,0,0,0,7,2,,
6762,20,0,0,0,3,0,1,
6769,40,0,0,0,2,0,,
6806,41,0,0,0,8,11,,
6807,31,0,0,0,9,6,1,
6809,29,0,0,0,6,0,,
6829,49,0,0,0,2,0,1,
6831,34,0,0,0,10,9,4,
6846,22,0,0,0,6,0,1,
6865,59,0,0,0,4,4,,
6868,38,0,0,0,8,1,,
6878,47,0,0,0,6,1,1,
6883,54,0,0,0,2,1,,
6891,43,0,0,0,3,1,,
6907,29,0,0,0,1,0,,
6932,22,0,0,0,7,3,2,
6959,28,0,0,0,4,0,,
6960,31,0,0,0,1,0,,
6969,50,0,0,0,1,3,,
6970,23,0,0,0,4,1,,
6981,39,0,0,0,1,0,1,
6995,55,0,0,0,5,18,,
6997,25,0,0,0,4,2,1,
7004,24,0,0,2,6,2,,
7015,23,0,0,0,2,0,,
7016,22,0,0,0,10,4,,
7022,25,0,0,0,3,0,1,
7029,33,0,0,0,9,16,1,(M1)
7037,26,0,1,0,10,6,3,(F3)
7039,36,0,0,0,1,3,2,
7046,27,0,0,0,5,0,,
7054,51,0,0,0,1,0,,
7066,30,0,1,2,7,12,,
7075,26,0,0,0,3,0,,
7118,55,0,0,0,2,9,,
7133,27,0,0,0,8,9,,
7140,42,0,0,0,6,0,1,
7143,57,0,0,0,1,1,,
7145,29,0,0,0,4,1,1,(M1)
7171,39,0,0,0,3,2,,
7180,37,0,0,0,4,4,,
7195,23,0,0,0,8,1,,
7216,32,0,1,3,8,7,3,(F3)
7220,43,0,1,0,4,4,,
7228,30,3,0,0,4,4,1,
7230,44,0,0,0,10,4,,
7231,37,0,0,0,7,3,,
7237,40,0,0,0,4,3,,
7245,25,0,0,0,8,5,1,(M1)
7247,24,0,0,0,5,2,2,
7274,31,0,0,0,3,0,,
7278,22,0,0,0,9,5,1,
7353,37,0,0,0,5,5,,
7357,34,0,0,0,3,0,,
7362,24,0,0,1,9,11,1,
7365,28,0,0,0,3,3,,
7367,46,0,0,0,9,10,,
7374,25,0,0,0,3,1,,
7408,63,0,0,0,6,8,,
7411,30,0,0,0,9,5,1,
7420,29,0,0,0,2,0,3,(F2)
7427,27,0,0,0,8,8,1,
7444,24,0,0,0,5,1,1,
7449,36,0,0,0,9,13,1,
7464,23,0,1,2,6,2,1,
7469,31,0,0,0,5,4,1,
7472,80,0,0,0,1,0,,
7500,25,0,0,0,3,1,,
7503,25,0,0,0,2,1,,
7533,43,0,0,0,2,1,,
7536,39,0,0,0,1,1,,
7545,24,0,0,2,5,3,,
7553,20,0,0,0,5,0,,
7562,26,0,0,0,6,1,,
7563,33,0,0,0,3,1,,
7568,20,0,3,0,5,3,1,
7578,43,0,0,0,2,2,,
7580,51,0,0,0,8,2,1,
7589,26,0,0,0,3,2,2,
7590,51,0,0,0,6,33,,
7597,31,0,0,0,1,0,,
7626,21,0,0,1,3,1,,
7634,36,0,0,0,1,0,,
7636,38,0,0,0,2,0,,
7638,34,0,0,0,1,2,1,
7643,23,0,0,0,3,1,,
7647,68,0,0,0,4,2,,
7650,41,0,0,0,4,1,3,(F3)
7657,39,0,0,0,2,2,,
7674,24,0,0,0,5,0,1,(M1)
7682,26,0,0,0,8,1,,
7684,26,0,0,0,6,6,,
7693,20,0,0,1,7,2,2,(M1)
7698,34,0,0,4,8,11,4,(F2)
7709,52,0,0,0,8,5,,
7717,34,2,0,1,7,8,3,
7720,55,0,0,0,1,0,1,(F3)
7723,24,0,0,0,2,0,,
7733,30,0,0,0,2,3,1,
7735,51,0,0,0,2,1,,
7753,54,0,0,0,1,1,,
7779,37,0,0,0,1,0,,
7800,56,0,0,0,2,2,,
7811,43,0,0,0,1,1,,
7820,30,0,0,0,2,4,1,(F3)
7821,30,0,0,0,8,1,,
7827,50,0,0,0,2,2,,
7830,31,0,0,0,5,2,1,
7834,33,0,0,0,2,1,,
7842,51,0,0,0,1,4,,
7859,29,0,0,0,6,8,1,(F2)
7864,40,0,0,0,1,2,,
7872,29,0,0,0,9,17,,
7879,36,0,0,0,4,0,,
7888,22,0,0,0,9,2,,
7898,35,0,0,0,3,2,,
7901,25,0,0,0,7,6,1,(F3)
7923,68,0,0,0,7,7,1,(M1)
7925,23,0,0,0,8,3,,
7944,36,0,0,0,1,2,,
7963,33,0,0,0,1,0,,
